device,precision,variant,pathology,threshold,sensitivity,specificity,youden_j,tp,fp,tn,fn,ppv,npv,n_pos,n_neg
jetson,fp16,featureKD,Pleural Effusion,0.38635820150375366,0.7910447761194029,0.8622754491017964,0.6533202252211994,53,23,144,14,0.6973684210526315,0.9113924050632911,67,167
jetson,fp16,featureHardKD,Cardiomegaly,0.19329962134361267,0.6617647058823529,0.8012048192771084,0.46296952515946144,45,33,133,23,0.5769230769230769,0.8525641025641025,68,166
jetson,fp16,featureHardKD,Edema,0.27581191062927246,0.8666666666666667,0.8518518518518519,0.7185185185185186,39,28,161,6,0.582089552238806,0.9640718562874252,45,189
jetson,fp16,featureHardKD,Consolidation,0.18653921782970428,0.9393939393939394,0.7213930348258707,0.66078697421981,31,56,145,2,0.3563218390804598,0.9863945578231292,33,201
jetson,fp16,featureHardKD,Atelectasis,0.2507292926311493,0.775,0.6623376623376623,0.43733766233766236,62,52,102,18,0.543859649122807,0.85,80,154
jetson,fp16,featureHardKD,Pleural Effusion,0.2624635696411133,0.8955223880597015,0.7724550898203593,0.6679774778800609,60,38,129,7,0.6122448979591837,0.9485294117647058,67,167
legion,fp16,baseline,Cardiomegaly,0.2223622351884842,0.75,0.7409638554216867,0.49096385542168663,51,43,123,17,0.5425531914893617,0.8785714285714286,68,166
legion,fp16,baseline,Edema,0.2743513882160187,0.8222222222222222,0.7671957671957672,0.5894179894179894,37,44,145,8,0.4567901234567901,0.9477124183006536,45,189
legion,fp16,baseline,Consolidation,0.18713268637657166,0.8181818181818182,0.7213930348258707,0.5395748530076889,27,56,145,6,0.3253012048192771,0.9602649006622517,33,201
legion,fp16,baseline,Atelectasis,0.24490438401699066,0.6375,0.6623376623376623,0.2998376623376622,51,52,102,29,0.49514563106796117,0.7786259541984732,80,154
legion,fp16,baseline,Pleural Effusion,0.3166861832141876,0.8507462686567164,0.7065868263473054,0.5573330950040218,57,49,118,10,0.5377358490566038,0.921875,67,167
legion,fp16,logitKD,Cardiomegaly,0.19087478518486023,0.8823529411764706,0.6265060240963856,0.5088589652728561,60,62,104,8,0.4918032786885246,0.9285714285714286,68,166
legion,fp16,logitKD,Edema,0.3830064833164215,0.8888888888888888,0.8412698412698413,0.7301587301587302,40,30,159,5,0.5714285714285714,0.9695121951219512,45,189
legion,fp16,logitKD,Consolidation,0.3319854736328125,0.9393939393939394,0.8308457711442786,0.7702397105382182,31,34,167,2,0.47692307692307695,0.9881656804733728,33,201
legion,fp16,logitKD,Atelectasis,0.37170660495758057,0.775,0.6493506493506493,0.42435064935064926,62,54,100,18,0.5344827586206896,0.847457627118644,80,154
legion,fp16,logitKD,Pleural Effusion,0.3432316780090332,0.8507462686567164,0.8203592814371258,0.6711055500938423,57,30,137,10,0.6551724137931034,0.9319727891156463,67,167
legion,fp16,featureKD,Cardiomegaly,0.19513355195522308,0.8529411764705882,0.6445783132530121,0.4975194897236004,58,59,107,10,0.49572649572649574,0.9145299145299145,68,166
legion,fp16,featureKD,Edema,0.35767972469329834,0.8444444444444444,0.8359788359788359,0.6804232804232804,38,31,158,7,0.5507246376811594,0.9575757575757575,45,189
legion,fp16,featureKD,Consolidation,0.30228811502456665,0.9696969696969697,0.7313432835820896,0.7010402532790594,32,54,147,1,0.37209302325581395,0.9932432432432432,33,201
legion,fp16,featureKD,Atelectasis,0.3805287182331085,0.7875,0.7012987012987013,0.4887987012987014,63,46,108,17,0.5779816513761468,0.864,80,154
legion,fp16,featureKD,Pleural Effusion,0.3891982436180115,0.7910447761194029,0.8682634730538922,0.6593082491732951,53,22,145,14,0.7066666666666667,0.9119496855345912,67,167
legion,fp16,featureHardKD,Cardiomegaly,0.19421492516994476,0.6470588235294118,0.8012048192771084,0.4482636428065203,44,33,133,24,0.5714285714285714,0.8471337579617835,68,166
legion,fp16,featureHardKD,Edema,0.2525683641433716,0.9111111111111111,0.8042328042328042,0.7153439153439152,41,37,152,4,0.5256410256410257,0.9743589743589743,45,189
legion,fp16,featureHardKD,Consolidation,0.18639105558395386,0.9393939393939394,0.7213930348258707,0.66078697421981,31,56,145,2,0.3563218390804598,0.9863945578231292,33,201
legion,fp16,featureHardKD,Atelectasis,0.2568320035934448,0.725,0.7077922077922078,0.43279220779220773,58,45,109,22,0.5631067961165048,0.8320610687022901,80,154
legion,fp16,featureHardKD,Pleural Effusion,0.26378899812698364,0.8955223880597015,0.7844311377245509,0.6799535257842524,60,36,131,7,0.625,0.9492753623188406,67,167
